id,name,countries,status,regions,websites
847660cdf79b8eabb8b04b21d61950e1e1606032,Schwemmalm,Italy,operating,Bolzano/Bozen,https://www.merano-suedtirol.it/de/schwemmalm.html
ab533978298068869c1bec248f7be725b3816a96,Mieminger Plateau,Austria,operating,Tyrol,
7090b53f143db22fb28d1a39b3c4dd80363e682a,Turnau,Austria,operating,Styria,
9da595fc915d7ba58888cc6fb28dc9569c436b0a,Onstmettingen,Germany,operating,Baden-Württemberg,
ee3f28813b46f9ed6c541d230d7aa0a66b30830d,Degenfeld,Germany,operating,Baden-Württemberg,
60d2fd5a759d5f3b9f6b5269b95b9e013eede8f8,Burladingen,Germany,operating,Baden-Württemberg,
7f413228db5c31398490168973dc9393841fd657,Beckenhalde,Switzerland,operating,Saint Gallen,https://www.feldsg.ch/
bea16b061951bda5c8f8cd56aea3e17e2e11c151,Meßstetten,Germany,operating,Baden-Württemberg,
fe71ed08434a72df2a0712b83e5e4ce07b196a94,Association Téléski du Salève (A.T.S.),France,operating,Haute-Savoie,
fea06ff012504b378ee326e5602407ff13286e26,"Горнолыжный курорт ""Черневская горка""",Russia,operating,Moscow Oblast,
05efe880-03dd-46ea-9bc2-8f92eb0c6dff,,Norway,operating,Vestland,
c9dde3fc4c2fa0148ff3d5dd9f40d573f3329e9b,Schatzalp/Strela,Switzerland,operating,Graubunden,
e5f2ecffbec19f6ada9be3680c33c156b3795b68,Schwarzsee,Switzerland,operating,Fribourg,https://www.kaisereggbahnen-schwarzsee.ch/
93dd643f7897fe5502b1b7155c2659ae4c26b81c,Mogno,Switzerland,operating,Ticino,https://mognofreetime.ch/
c733395ff9ebf5eb574c0cd839b2bf206e49dd02,Les Pléiades,Switzerland,operating,Vaud,
7e83808bf97e8388057c23c717696ca9ad52cc7a,Hapfere,Switzerland,operating,Fribourg,
fa60f5cf50efef29e1a4d3f11a3eb147a2cb208f,Harrachov,Czechia,operating,Liberec,
f0a9dd6122c052f90f2904402674e0bd6e144dd7,Estació d'esquí nòrdic Tuixent - La Vansa,Spain,operating,Lleida,
5bde5697444960d0cca1ab4814300524b1651091,Foppolo - Carona,Italy,operating,Bergamo,https://www.brembanaski.com/
abe78a3dbf0434ee19dc6857b1ad64c114652010,Rochers-de-Naye,Switzerland,operating,Vaud,https://www.goldenpass.ch/
d77ca7030d4b1ae1fac3fd659699c25387d09cf9,Bremelau,Germany,operating,Baden-Württemberg,
6f90bc2847a8747ad7227fda4ff6f4a136e2aa1b,Val Palot,Italy,operating,Brescia,
e3b649a38a14477f43f7bc3cb2a71687f28a203c,Gaver,Italy,operating,Brescia,
bc121868801b1bf35c89bb33cceb92e915664994,Sauris,Italy,operating,Udine,
3360ffc652ccf4c985c567dab35f16d930ea4438,Misurina,Italy,operating,Belluno,
f12215df7a334a3dd44f383c6bbf20ca12fd7264,Kouty,Czechia,operating,Olomouc,
5e220e953ebe75265d6a53fe7624cd7c0b92c7f7,La Chia,Switzerland,operating,Fribourg,
403d9e49a63730e0eb0b24d8f88ee018542bd65a,Forcella Aurine,Italy,operating,Belluno,
bddece8e885fd5d95b690dc98b4edf71721fb5f7,Mendel,Italy,operating,Trento,
82141a5c047a57f0b678508e2c72386da2ba4495,San Vigilio,Italy,operating,Bolzano/Bozen,https://www.vigiljoch.com/
cf6423ae2c9659dd332399a2ca796cff5ede5146,Col de Turini/​Camp d'Argent,France,operating,Alpes-Maritimes,
add44beb4e8b6964cc724988cf67b17daf50df5c,Verena 2000,Italy,operating,Vicenza,https://www.skiverena.com/
ff617dae23c20126fb629a752835859e5bfe805e,Trebević,Bosnia and Herzegovina,operating,Sarajevo,
f3c460921997b7a952418bdb735251e921e89466,Скијачки центар Попова шапка,North Macedonia,operating,Bogovinje Municipality;Tetovo Municipality,https://skimacedonia.mk/ski-regions/popova-sapka/?lang=en
b276a7bffce232c5837d4bf6e71a016afd24c5ab,"Kolašin 1600 ski resort, Колашин 1600 ски резорт",Montenegro,operating,Kolasin,
ecc0a4fe44ef98f061534c48504fe5d4d1eebf20,Skijalište Putevi Nova Varoš,Serbia,operating,Zlatiborski upravni okrug,
ab685762e7c70dbc382cd75919670442e27c48a5,Malbun,Liechtenstein,operating,Liechtenstein,https://www.bergbahnen.li/
b3e6cffb7141aca7afe44bab3d242d7c89e2688a,Le Markstein,France,operating,Haut-Rhin,https://www.lemarkstein.net/
80c1bfd051479821a28a905427504a568bb27283,U Bambuchů,Czechia,operating,Zlín,https://www.bambuchovi.cz/
9493e657cf53a89088a6c385389731f11b5d09b4,Domaine Nordique Col d'Ornon,France,operating,Isère,https://www.col-dornon.com/fr/index.php
5ffd86e2374dc98261a846de36bfc510ab758dfc,Monterosa Ski,Italy,operating,Valle D'Aosta;Vercelli,https://monterosaski.eu/en
b62982ab39d36e3bde434d75504a45fdbf0760fd,Baierbrunn Langlaufloipe,Germany,operating,Bavaria,https://www.altschuetzen-baierbrunn.de/Loipe.html
e4cb8f251be4f32e7b18329b63811629b7e22e19,"""Erste Berg"" Masserberg",Germany,operating,Bavaria;Thuringia,
01a249ab7e64df591e256b239313eac6cb67f441,Avantura park,Serbia,operating,Zlatiborski upravni okrug,
9e8a091097aeb5af7c87b5f53922e3db043a9849,"Gletscher-Skigebiet Zugspitze, Ski resort Zugspitze",Austria;Germany,operating,Bavaria;Tyrol,https://zugspitze.de/de/winter/skigebiet/zugspitze
da336da0063a4720515c75c157d4567a0c74f471,Obudojevica,Serbia,operating,Zlatiborski upravni okrug,
5e43be6d6f357120b3833e3e8774b66be917e7b1,Nový Hrozenkov - Vranča,Czechia,operating,Zlín,https://www.vranca.cz/
8bb290b2b2e6a40a08840a6d10edd1843d8c78de,Ski&Bike Špičák,Czechia,operating,Plzeň,
7d48271447f63491549e81b655d182bd3704937f,Lajoux / Massacre,France,operating,Jura,
68f42ce033685fae62bdc6ba162347abab30d3dd,Ski areál Bosíno,Czechia,operating,Liberec,
fb0e9e29a06db4ce1cf6e47d8109c9b4b9115ba2,Site nordique de Morbier,France,operating,Doubs;Jura,https://www.espacenordiquejurassien.com/annuaire/site_nordique_de_morbier~ccb25020b08d9f35c028b706a04.html
61f31c445571bf025873e5684fd7581560f5ed1b,Giron,France,operating,Ain,https://www.espacenordiquejurassien.com/giron-haut-bugey.html
f990e97d00662ee7400316c6929dfee384d1c4c9,Stade de neige du Col du Feu,France,operating,Haute-Savoie,
4727017fefc6589568e726eccaab389d604e87bf,Ski areál Sedlář,Czechia,operating,Moravian-Silesian,
cfb57c377afdccd52ed0a3ad443404c2c8d51092,Kvilda,Czechia,operating,South Bohemian,
a17a50b967f4ba4a0fe62efee77a71271ff8e983,Za Nádražím,Czechia,operating,Plzeň,
9c678819774347ccda13617da870dd0a25c5948a,Ramudla,Italy,operating,Bolzano/Bozen,
c76d5f079ac8b52f1442b183da18487017d602b4,Ski Pancíř,Czechia,operating,Plzeň,
fe130c8741a8da90ab3610e3496167feea4cd7ef,Samoty,Czechia,operating,Plzeň,
f0fc0964284abeecf630a3e9ced5f05a0dd1213c,Family aréna Krakonoš,Czechia,operating,Liberec,
8ed77005f27348ef87ec0e622cd67eaf2692d5a4,Schönfeld - Thomatal,Austria,operating,Salzburg,https://www.schoenfeld.co.at/ski-alpin
fce8c79e5ee4380c8d25c0d311e3db301cf3fcf0,Wennser Gletscher,Austria,operating,Salzburg,
8992c5a5-547d-48c6-b4a7-f1c1aa92136c,,Norway,operating,Vestfold og Telemark,
b7e4306ead8b3ef060c28802ca40494804734e5c,Lärchenhof,Austria,operating,Tyrol,
834391e351bc688fb289da5dc02ee041496bc88d,Virgen,Austria,operating,Tyrol,
8234a095a62ab04741a1a6081583d911d6415b4c,Kelchsau,Austria,operating,Tyrol,skiwelt.at
ec351df80c613efab5dfa46c84291076d91195e4,Hochfeld - Schwoich,Austria,operating,Tyrol,skiwelt.at
6cf06dd44411dacb87d18fda0fcfef18f38dc2aa,Tirolina - Haltjochlift,Austria,operating,Tyrol,
acc070eac4f734da9b076f085e55a6835d1301a2,Friesovy boudy,Czechia,operating,Hradec Králové,
20687bc2c627a5e98992e2235d6201a7c3fad207,Oberberglifte Simmerberg,Germany,operating,Bavaria,https://www.skilift-simmerberg.de/
8e7e8b44-32fd-47e1-b916-7d8ff824d6a6,,Germany,operating,Baden-Württemberg,
ad5415e5-00ed-4ec3-ae90-3a5e3afb6c04,,Germany,operating,Baden-Württemberg,
bf17dce5ea10b00f4cc89cb480fe532b7900287d,Gstaad - Wasserngrat,Switzerland,operating,Bern,
3ff855f4-34c4-41d4-ac5d-6196f8faf199,,Germany,operating,North Rhine-Westphalia,
065f0a59-8ab4-44c8-b023-d2d1516bdfb3,,Germany,operating,Saxony,
3c6c2899ee0454f9a3996c2d583433221c6f0f9c,"ГЛК ""Малахово""",Russia,operating,Tula,
8d935263249d1a83f15ea4072d4eb71e7a747c01,vlek Tisá,Czechia,operating,Ústecký,
e52f1b772d43b41d1503d7c1dd39815ecceb060b,Pokljuka,Slovenia,operating,Upper Carniola,
f90c6313-8de0-4cab-8a92-17149781b6b2,,Germany,operating,Rhineland-Palatinate,
1bb6cd67-c8d3-48b9-91c1-77935621e612,,Germany,operating,North Rhine-Westphalia,
8e782340-0384-4753-bb86-c16a6b69575a,,Finland,operating,Central Finland,
a84fe750ee8c232c98f52fc0d601aa53a582e8db,Štós - Šikmá stráň,Slovakia,operating,Kosice,
f942605a28511e097a5b8c4c8f5539812a04b311,Lyžařský areál Hartmanice,Czechia,operating,Plzeň,http://www.la-hartmanice.cz/
7e4a535b81f73ea03739921a097d71ce1d64a9c8,Bukovka,Czechia,operating,Liberec,
c4384ef53e22313d35278f6f63a247afe74d4a04,Skiareál Kunčice,Czechia,operating,Olomouc,https://skikuncice.cz
a0d69edf18ccf67853913884e0948ec4fcf1684b,Jahodná,Slovakia,operating,Kosice,https://jahodna.sk/lyzovanie/
c1335a94c8015a8daeed8321bc37477c444cf026,Králíky,Slovakia,operating,Banska Bystrica,https://www.skikraliky.sk
6c0a5c8cb925c168376496a535afb2f06341a9f0,Ždiar - Deny,Slovakia,operating,Presov,https://www.penziondeny.com/
df2bd5abc7c60af896261373af4d7b9d6085e5bf,Wildkogel,Austria,operating,Salzburg,https://www.wildkogel-arena.at/
a33fac212ff6bbd1f14b4151b5a963e640573c84,Bennau /Einsiedeln,Switzerland,operating,Schwyz,
7c9b92923d15730930f62c097152088ae43aae3f,Mont Serein,France,operating,Vaucluse,https://www.stationdumontserein.com/
808a29cc985bed7129079ff09f058237fa602ae8,Ski Center Brezovica,Kosovo;North Macedonia,operating,Ferizaj;Jegunovce Municipality,https://www.brezovica-ski.net/
a97f284c513d5f68ed3cc87277f4579f485e4596,Ski Grúniky,Slovakia,operating,Zilina,https://www.ski-gruniky.sk/
2fb7fc21af6e0068eda6e286e7a22cb5f63eec88,Lammertallift,Austria,operating,Salzburg,http://www.skilift-lammertal.at/
a91c4401f9acd187b31bc6d43b6ada6963af7865,Ski centrum Kozinec,Slovakia,operating,Zilina,http://www.ski-kozinec.sk/
ec2952a5b342ebeb0c02b7218ade007d6439eb36,Ski areál Přimda,Czechia,operating,Plzeň,http://www.sportprimda.cz
ff28e32f9df999d50f3241154322dae015fb4cef,Skiareál Potštát,Czechia,operating,Olomouc,
93f60c54a70d16d3fcb8bf0bbd0d5573a5fdf86e,Čenkovice - Nad parkovištěm,Czechia,operating,Pardubice,
7a94010a711896ce4a3187bea91b462aa3191780,Ski Uhliská,Slovakia,operating,Zilina,http://www.skinizna.sk/
855e0ca24b963c6b7eb24d074f4f304a283a97d7,Renčišov – Búče,Slovakia,operating,Presov,
e52db497da69da24a5fdd99ba1e81c75280103b4,Skilift Compedal,Austria,operating,Tyrol,
9e3ad05159e80eb9288d59769b77ab6a7c3ecfa0,Ski TMG Poruba,Slovakia,operating,Trenciansky kraj,
729a3660e79eb939259978628385ef70287df179,Polomka - Bučník,Slovakia,operating,Banska Bystrica,https://www.polomka.sk/obec/bucnik/lyziarske-stredisko/
b2fbd87ea4be8a9d355405fc94efcc197e2a9737,Liptovská Teplička,Slovakia,operating,Presov,
5a6b7412f0f8504db56a9e159ea22c77b6a1ed49,Skilift Eberschwang,Austria,operating,Upper Austria,https://www.ski-eberschwang.at/
f6331b6b308f763bb3f281fe8ed959a2eb8fda45,Horský resort Buková hora,Czechia,operating,Olomouc;Pardubice,https://www.skibukovka.cz/cz/
d275dc64b315615ac3011651015dc7f58f4e77ea,Šerkov,Slovakia,operating,Zilina,"https://www.chatastart.sk/?sk_lyziarsky-vlek,4"
f7f56d06e508cb9770a26c0fb26c2c45f8c3869c,Košťálka,Czechia,operating,Hradec Králové,
